Firmware request,Read time,Set timer interrupt,Misaligned operation,Ipi,Remote fence,Firmware exit,Page fault
0,0,0,0,0,0,64400,0
1,0,0,0,0,0,107,0
0,11772,0,0,0,0,0,0
0,178608,0,0,0,0,0,0
0,568640,0,0,0,0,0,0
0,568666,0,0,0,0,0,0
0,568721,0,0,0,0,0,0
0,521351,0,0,0,0,0,0
0,426112,0,0,0,0,0,0
0,457117,0,0,0,0,0,0
0,224634,0,0,0,0,0,0
0,473622,0,0,0,0,0,0
0,564507,0,0,0,0,0,0
0,540359,0,0,0,0,0,0
0,541343,0,0,0,0,0,0
0,350327,0,0,0,0,0,0
0,433100,0,0,0,0,0,0
0,561524,0,0,0,0,0,0
0,543115,0,0,0,0,0,0
0,311521,0,0,0,0,0,0
0,306126,0,0,0,0,0,0
0,306191,0,0,0,0,0,0
0,306160,0,0,0,0,0,0
0,306158,0,0,0,0,0,0
0,306114,0,0,0,0,0,0
0,306201,0,0,0,0,0,0
0,306202,0,0,0,0,0,0
0,306139,0,0,0,0,0,0
0,306163,0,0,0,0,0,0
0,381474,0,0,0,0,0,0
0,571598,0,0,0,0,0,0
0,571540,0,0,0,0,0,0
0,571540,0,0,0,0,0,0
0,571602,0,0,0,0,0,0
0,513632,0,0,0,0,0,0
0,571595,0,0,0,0,0,0
0,571543,0,0,0,0,0,0
0,571599,0,0,0,0,0,0
0,571598,0,0,0,0,0,0
0,513606,0,0,0,0,0,0
0,571548,0,0,0,0,0,0
0,571598,0,0,0,0,0,0
0,571547,0,0,0,0,0,0
0,571598,0,0,0,0,0,0
0,447583,0,0,0,0,0,0
0,377032,0,0,0,0,0,0
0,571598,0,0,0,0,0,0
0,571184,0,0,0,0,0,0
0,571600,0,0,0,0,0,0
0,571601,0,0,0,0,0,0
0,430224,0,0,0,0,0,0
0,367197,0,12421,0,0,0,0
0,119510,0,1286,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,13693,0,0,0,0,0,0
0,77395,0,0,0,0,0,0
0,67511,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,13795,0,0,0,0,0,0
0,77704,0,0,0,0,0,0
0,68048,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,13582,0,0,0,0,0,0
0,78017,0,0,0,0,0,0
0,68726,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,110158,0,274,0,0,0,0
0,57460,0,1674,0,0,0,0
0,465224,0,1096,0,0,0,0
0,498947,0,0,0,0,0,0
0,499030,0,0,0,0,0,0
0,499025,0,0,0,0,0,0
0,498979,0,0,0,0,0,0
0,497367,0,0,0,0,0,0
0,469764,0,0,0,0,0,0
0,492017,0,0,0,0,0,0
0,496974,0,0,0,0,0,0
0,490042,0,0,0,0,0,0
0,470746,0,0,0,0,0,0
0,390894,0,0,0,0,0,0
0,38428,0,0,0,0,0,0
0,52827,0,0,0,0,0,0
0,450069,0,1,0,0,0,0
0,505667,0,0,0,0,0,0
0,500485,0,0,0,0,0,0
0,500521,0,0,0,0,0,0
0,500875,0,0,0,0,0,0
0,501046,0,0,0,0,0,0
0,501197,0,0,0,0,0,0
0,501131,0,0,0,0,0,0
0,500411,0,0,0,0,0,0
0,500021,0,0,0,0,0,0
0,501701,0,0,0,0,0,0
0,500317,0,0,0,0,0,0
0,509273,0,0,0,0,0,0
0,511997,0,0,0,0,0,0
0,515571,0,0,0,0,0,0
0,517160,0,0,0,0,0,0
0,514967,0,0,0,0,0,0
0,514164,0,0,0,0,0,0
0,515260,0,0,0,0,0,0
0,515099,0,0,0,0,0,0
0,515287,0,0,0,0,0,0
0,516087,0,0,0,0,0,0
